"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000065534.18",377.492870192987,0.365298487573485,0.0773647826990796,1821.42169687221,0,0
"ENSG00000065609.14",981.325993091571,0.636268824044853,0.238944484622943,3165.81023041751,0,0
"ENSG00000065882.16",1177.21346865064,-0.294021419252353,0.0676471162612797,1957.53827964774,0,0
"ENSG00000065923.10",495.052971955508,-3.32511680627274,0.136455463067859,1841.91072619533,0,0
"ENSG00000066279.18",1706.06529705014,0.289223344489962,0.0975232128790103,1817.12437498317,0,0
"ENSG00000066382.16",349.511199087448,-0.899523424233638,0.22094814327859,1893.44214972688,0,0
"ENSG00000066468.22",1628.72433053765,1.71643453899626,0.0819853530465375,10199.2475950741,0,0
"ENSG00000067840.12",2260.4159698663,-3.74485047763377,0.105493130059142,1795.97304120176,0,0
"ENSG00000067955.15",2539.0695709371,0.868921533675469,0.0881528238536257,2255.75118838335,0,0
"ENSG00000068078.18",275.670807045449,1.48945740137861,0.120251868475808,2260.80050114339,0,0
"ENSG00000068615.18",2496.74644102331,-0.625282199199091,0.258403592988519,1520.12074684319,0,0
"ENSG00000068831.19",134.451613088058,-4.26955840726003,0.185305410618462,1638.15999599085,0,0
"ENSG00000068971.14",648.651778329703,0.252615562824817,0.11751208625518,1849.30978570544,0,0
