genes;day
TPD52L1;Day 0
HINT3;Day 0
RIPOR2;Day 0
UST;Day 0
ULBP1;Day 0
TULP1;Day 0
KCTD20;Day 0
SRSF3;Day 0
SOD2;Day 0
MDGA1;Day 0
ICK;Day 0
CD83;Day 0
MDN1;Day 0
BAG2;Day 0
GPR63;Day 0
KHDRBS2;Day 0
CCNC;Day 0
E2F3;Day 0
ASCC3;Day 0
COL9A1;Day 0
ALDH5A1;Day 0
CRYBG1;Day 0
ACOT13;Day 0
HBS1L;Day 0
ZBTB24;Day 0
PERP;Day 0
ARFGEF3;Day 0
SLC16A10;Day 0
HECA;Day 0
QKI;Day 0
MDFI;Day 0
SMOC2;Day 0
CCND3;Day 0
BICRAL;Day 0
MRPL2;Day 0
CUL9;Day 0
DNPH1;Day 0
DUSP22;Day 0
GMDS;Day 0
VEGFA;Day 0
LAMA4;Day 0
FBRSL1;Day 0
NUDT12;Day 0
CEP72;Day 0
MAN2A1;Day 0
SEMA5A;Day 0
TENT4A;Day 0
HMGCS1;Day 0
DAP;Day 0
KIF20A;Day 0
NNT;Day 0
MRPS30;Day 0
HSPA9;Day 0
SPARC;Day 0
HMGCR;Day 0
FAF2;Day 0
PCDHB3;Day 0
PCDHB5;Day 0
TTC1;Day 0
RASGRF2;Day 0
POLR3G;Day 0
ARRDC3;Day 0
SUB1;Day 0
FAM172A;Day 0
TARS;Day 0
BRIX1;Day 0
PRLR;Day 0
SLC12A7;Day 0
GNPDA1;Day 0
SKP1;Day 0
PPP2CA;Day 0
LIFR;Day 0
WWC1;Day 0
H2AFY;Day 0
DPYSL3;Day 0
SMAD5;Day 0
HMGXB3;Day 0
ERGIC1;Day 0
PDGFRB;Day 0
ATP6V0E1;Day 0
STC2;Day 0
CPEB4;Day 0
HRH2;Day 0
ZNF346;Day 0
SMC4;Day 0
CRBN;Day 0
ARL6;Day 0
AMOTL2;Day 0
NIT2;Day 0
FAM162A;Day 0
PCCB;Day 0
CEP70;Day 0
RBP1;Day 0
SLC25A36;Day 0
TFDP2;Day 0
BCHE;Day 0
PFKFB4;Day 0
USP4;Day 0
GNAI2;Day 0
USP9Y;Day 0
FXR1;Day 0
CBLB;Day 0
GNB4;Day 0
GBE1;Day 0
UMPS;Day 0
SLC41A3;Day 0
SCAP;Day 0
COMMD2;Day 0
PEX5L;Day 0
EIF1B;Day 0
KLHL24;Day 0
DNAH1;Day 0
NKTR;Day 0
EIF4G1;Day 0
ADAM23;Day 0
PIKFYVE;Day 0
KCNIP3;Day 0
NCL;Day 0
ACTR3;Day 0
STEAP3;Day 0
GPD2;Day 0
PSMD14;Day 0
PPM1G;Day 0
PCSK4;Day 0
IFIH1;Day 0
MOGS;Day 0
TTC31;Day 0
NDUFS7;Day 0
LOXL3;Day 0
GALNT3;Day 0
TACR1;Day 0
WDR75;Day 0
EFEMP1;Day 0
FN1;Day 0
STAT1;Day 0
GLS;Day 0
IGFBP2;Day 0
ELMOD3;Day 0
USP34;Day 0
GGCX;Day 0
EHBP1;Day 0
OTX1;Day 0
SF3B1;Day 0
CHST10;Day 0
MOB4;Day 0
FHL2;Day 0
MLPH;Day 0
ID2;Day 0
TAF1B;Day 0
ODC1;Day 0
BIRC6;Day 0
NOL10;Day 0
STRN;Day 0
CEBPZ;Day 0
PRKD3;Day 0
DCAF17;Day 0
QPCT;Day 0
RAB3GAP1;Day 0
SRSF7;Day 0
SLC1A4;Day 0
PNO1;Day 0
ORC4;Day 0
RND3;Day 0
PCYOX1;Day 0
EPAS1;Day 0
ARID3A;Day 0
SUMO1;Day 0
NFE2L2;Day 0
SPR;Day 0
PARD3B;Day 0
DHCR24;Day 0
TMEM59;Day 0
LRRC42;Day 0
QSOX1;Day 0
STXBP3;Day 0
ERRFI1;Day 0
KCNC4;Day 0
EDEM3;Day 0
CAPZA1;Day 0
TRIM62;Day 0
DLGAP3;Day 0
SRM;Day 0
C1orf21;Day 0
LEPR;Day 0
IVNS1ABP;Day 0
SMG7;Day 0
GADD45A;Day 0
WLS;Day 0
RGS2;Day 0
UCHL5;Day 0
BCAS2;Day 0
CTH;Day 0
OLFML3;Day 0
CRYZ;Day 0
PHTF1;Day 0
TTF2;Day 0
NR5A2;Day 0
KIF21B;Day 0
MAP7D1;Day 0
NID1;Day 0
HPCAL4;Day 0
ACADM;Day 0
ADGRL2;Day 0
MFAP2;Day 0
RPF1;Day 0
CTBS;Day 0
IGSF21;Day 0
SSX2IP;Day 0
ZNHIT6;Day 0
RAB29;Day 0
ECE1;Day 0
HMGCL;Day 0
SLC2A1;Day 0
EBNA1BP2;Day 0
B4GALT2;Day 0
AKR1A1;Day 0
PRDX1;Day 0
DR1;Day 0
F3;Day 0
PTBP2;Day 0
DARS2;Day 0
UTP25;Day 0
PLPPR5;Day 0
RSRP1;Day 0
RCOR3;Day 0
MTFR1L;Day 0
NEK2;Day 0
ARID1A;Day 0
CENPF;Day 0
PPP1R8;Day 0
MARC2;Day 0
ESYT2;Day 0
CD3EAP;Day 0
CHRNB4;Day 0
CTSD;Day 0
STK11;Day 0
IFT46;Day 0
SLC8A2;Day 0
KIF14;Day 0
TNNT2;Day 0
MREG;Day 0
NRP2;Day 0
KLF7;Day 0
B4GALT6;Day 0
FILIP1;Day 0
HMGN3;Day 0
PHF3;Day 0
FBXO30;Day 0
AKAP7;Day 0
MYB;Day 0
SGK1;Day 0
CCN2;Day 0
MED28;Day 0
ZNF430;Day 0
FOXO3;Day 0
TGIF2;Day 0
SPP1;Day 0
CCNI;Day 0
RAB3GAP2;Day 0
UBN1;Day 0
PCDH17;Day 0
HS1BP3;Day 0
WDR35;Day 0
CCND2;Day 0
ELL2;Day 0
GLRXP3;Day 0
SATB2;Day 0
UBE2B;Day 0
GDA;Day 0
ECRG4;Day 0
SENP5;Day 0
C1orf198;Day 0
HEATR1;Day 0
PTBP3;Day 0
CTNNAL1;Day 0
WDR34;Day 0
SET;Day 0
PHF19;Day 0
HSDL2;Day 0
ONECUT2;Day 0
DCAF4;Day 0
NEK9;Day 0
ACYP1;Day 0
IRF2BPL;Day 0
MLH3;Day 0
DLST;Day 0
KLHL29;Day 0
TMEM214;Day 0
YPEL5;Day 0
FAM98A;Day 0
LGALSL;Day 0
CNRIP1;Day 0
EPCAM;Day 0
OGFRL1;Day 0
IFIT3;Day 0
PYROXD2;Day 0
MXI1;Day 0
SMNDC1;Day 0
HELLS;Day 0
TCTN3;Day 0
ARMH3;Day 0
GNA13;Day 0
TEK;Day 0
RCL1;Day 0
MYCT1;Day 0
WDR55;Day 0
PCDHB8;Day 0
PCDHB12;Day 0
ACAT2;Day 0
TEX11;Day 0
SLC10A7;Day 0
NUDCD1;Day 0
MASTL;Day 0
IQSEC3;Day 0
TNFSF11;Day 0
DNAJC15;Day 0
PROSER1;Day 0
HSPH1;Day 0
KBTBD7;Day 0
ALG5;Day 0
EXOSC8;Day 0
ETF1;Day 0
FAM53C;Day 0
SIL1;Day 0
EGR1;Day 0
UTP20;Day 0
NFYB;Day 0
WASHC3;Day 0
DUSP4;Day 0
TNFRSF10B;Day 0
SORBS3;Day 0
TNFRSF8;Day 0
LYPLA1;Day 0
CRISPLD1;Day 0
TRIM25;Day 0
SCPEP1;Day 0
NACA3P;Day 0
LRAT;Day 0
TSHZ3;Day 0
KCNJ8;Day 0
ZNF549;Day 0
ZSCAN18;Day 0
PDZRN3;Day 0
RNF2;Day 0
SEC22A;Day 0
B4GALT4;Day 0
NAA50;Day 0
KIF18A;Day 0
DESI2;Day 0
MAPK8IP1;Day 0
CAT;Day 0
PILRB;Day 0
ADGRB2;Day 0
POLR3GL;Day 0
ZNF639;Day 0
SLITRK3;Day 0
CPXM2;Day 0
CSMD2;Day 0
GPSM2;Day 0
OCRL;Day 0
COPA;Day 0
HS3ST2;Day 0
ZC3H7A;Day 0
ANXA11;Day 0
SHLD2;Day 0
ZNF205;Day 0
ZNF644;Day 0
BBS9;Day 0
PMS2;Day 0
ZMIZ2;Day 0
SEPTIN7;Day 0
KLHL7;Day 0
FAM126A;Day 0
INHBA;Day 0
NT5C3A;Day 0
ARL4A;Day 0
POLM;Day 0
ACO1;Day 0
CNTFR;Day 0
CYREN;Day 0
CALD1;Day 0
NUDT10;Day 0
PLAU;Day 0
P4HA1;Day 0
RBM19;Day 0
CIT;Day 0
IFT81;Day 0
ACADS;Day 0
DDX54;Day 0
RASSF8;Day 0
ITPR2;Day 0
CCDC91;Day 0
NECAB1;Day 0
WWP1;Day 0
ACOT9;Day 0
PKN1;Day 0
ADGRE5;Day 0
EBPL;Day 0
GUCY1B2;Day 0
NLN;Day 0
CENPK;Day 0
ITIH5;Day 0
ATF1;Day 0
ARHGAP9;Day 0
PFDN5;Day 0
SPATS2;Day 0
NR4A1;Day 0
CDK2;Day 0
SMUG1;Day 0
HJURP;Day 0
AMD1;Day 0
NDUFAF4;Day 0
PLP1;Day 0
MORF4L2;Day 0
NRK;Day 0
FAM199X;Day 0
METTL8;Day 0
TNFAIP6;Day 0
ACVR1C;Day 0
SLC36A1;Day 0
LPGAT1;Day 0
BATF3;Day 0
G0S2;Day 0
KCNJ2;Day 0
RAP2C;Day 0
PLA2G12A;Day 0
AGO2;Day 0
CHPF;Day 0
OBSL1;Day 0
SLC12A4;Day 0
FAM210B;Day 0
PREX1;Day 0
ARHGAP40;Day 0
SDC4;Day 0
PIGT;Day 0
MATN4;Day 0
PARD6B;Day 0
PLCG1;Day 0
SRSF6;Day 0
ARFGEF2;Day 0
CSE1L;Day 0
PTGIS;Day 0
STX16;Day 0
RNF114;Day 0
SEMG1;Day 0
MTRR;Day 0
PEPD;Day 0
CHST8;Day 0
IQSEC2;Day 0
XG;Day 0
NAGK;Day 0
MCEE;Day 0
PAIP2B;Day 0
IL17C;Day 0
HIF3A;Day 0
USP9X;Day 0
F13A1;Day 0
GRM4;Day 0
TRERF1;Day 0
BTN2A2;Day 0
SIRT5;Day 0
MRS2;Day 0
WRNIP1;Day 0
SERPINB6;Day 0
PEX6;Day 0
NQO2;Day 0
AARS2;Day 0
ZNF391;Day 0
MED20;Day 0
CDKN1A;Day 0
SOX4;Day 0
GLO1;Day 0
RUNX2;Day 0
LRRFIP1;Day 0
RAB17;Day 0
CXCL6;Day 0
AHNAK;Day 0
BBS2;Day 0
MT2A;Day 0
GOT2;Day 0
DOK4;Day 0
RAP2A;Day 0
ABCC4;Day 0
EFNB2;Day 0
TM9SF2;Day 0
SEPTIN6;Day 0
BMP4;Day 0
FAM193A;Day 0
MYH2;Day 0
HS3ST3B1;Day 0
PPP1R12C;Day 0
MBOAT7;Day 0
SLC2A4RG;Day 0
PPDPF;Day 0
POLR1B;Day 0
SLC25A23;Day 0
ALKBH7;Day 0
MED1;Day 0
ATG4C;Day 0
C3;Day 0
SH2D3A;Day 0
TRIP10;Day 0
GPR108;Day 0
EML2;Day 0
GPCPD1;Day 0
DTD1;Day 0
RRBP1;Day 0
BMP2;Day 0
MKKS;Day 0
DSTN;Day 0
SNRPB2;Day 0
MGME1;Day 0
MRPS26;Day 0
NCLN;Day 0
MMP24;Day 0
NECAB3;Day 0
ID1;Day 0
DYNLRB1;Day 0
EIF2S2;Day 0
CEP250;Day 0
PLAGL2;Day 0
MMP24OS;Day 0
GRPR;Day 0
AMOT;Day 0
MCF2L;Day 0
LRFN3;Day 0
RBM42;Day 0
UBA2;Day 0
NR1D1;Day 0
RRAS;Day 0
PRRG2;Day 0
SCAF1;Day 0
PRR12;Day 0
PRKCG;Day 0
AHDC1;Day 0
EMG1;Day 0
ELK1;Day 0
TIMM17B;Day 0
ATG14;Day 0
KTN1;Day 0
HSPA2;Day 0
ZBTB1;Day 0
PLEKHG3;Day 0
WDR60;Day 0
AIF1L;Day 0
MAP2K2;Day 0
INTS11;Day 0
ZNF484;Day 0
COX7C;Day 0
PLAAT1;Day 0
RAB3IP;Day 0
PTPRB;Day 0
YEATS4;Day 0
LRRC61;Day 0
FGFRL1;Day 0
AUNIP;Day 0
EMC1;Day 0
SLC35E1;Day 0
SYNGR3;Day 0
PKMYT1;Day 0
WFIKKN1;Day 0
CHTF18;Day 0
MACF1;Day 0
SMARCA4;Day 0
KDM4B;Day 0
TUBA4A;Day 0
AAMP;Day 0
ZNF835;Day 0
HIP1;Day 0
PTPN12;Day 0
STYXL1;Day 0
SGCE;Day 0
LRFN1;Day 0
ZFP36;Day 0
SRD5A3;Day 0
PAICS;Day 0
KDR;Day 0
PPAT;Day 0
TUBGCP6;Day 0
ADM2;Day 0
DGCR8;Day 0
SDF2L1;Day 0
GAL3ST1;Day 0
TPST2;Day 0
MPST;Day 0
APOL2;Day 0
EMC4;Day 0
DOCK4;Day 0
VGF;Day 0
CCDC136;Day 0
FEZF1;Day 0
MYO1B;Day 0
CHN1;Day 0
ORMDL1;Day 0
SNRPN;Day 0
TWSG1;Day 0
ARHGAP22;Day 0
EIF2AK4;Day 0
CGNL1;Day 0
KNSTRN;Day 0
DUT;Day 0
CHAC1;Day 0
VPS13C;Day 0
LOXL1;Day 0
ANAPC13;Day 0
SUMF2;Day 0
E2F8;Day 0
SOX15;Day 0
PIMREG;Day 0
TXNDC17;Day 0
ATP1B2;Day 0
FXR2;Day 0
MPDU1;Day 0
SLC44A2;Day 0
AP1M2;Day 0
PARP2;Day 0
SNX6;Day 0
EAPP;Day 0
EGLN3;Day 0
REEP5;Day 0
FOXJ1;Day 0
ARHGEF6;Day 0
FGF13;Day 0
ASH2L;Day 0
RPS4Y1;Day 0
KLF16;Day 0
TMEM8A;Day 0
DOHH;Day 0
MAU2;Day 0
SHC2;Day 0
ABHD17A;Day 0
PUDP;Day 0
STARD8;Day 0
FAM155B;Day 0
GDPD2;Day 0
SAT1;Day 0
GNL3L;Day 0
SH3BP4;Day 0
LDLR;Day 0
PRKCSH;Day 0
CDC16;Day 0
ZSCAN10;Day 0
THEM6;Day 0
NECTIN2;Day 0
APOE;Day 0
TOMM40;Day 0
APOC1;Day 0
LRCH2;Day 0
DPP6;Day 0
XPO7;Day 0
SAFB2;Day 0
RPL36;Day 0
ATP8B3;Day 0
NCAN;Day 0
KIF1A;Day 0
GTPBP3;Day 0
BST2;Day 0
USHBP1;Day 0
COLGALT1;Day 0
DDA1;Day 0
MRPL34;Day 0
RTN4IP1;Day 0
QRSL1;Day 0
NDUFA10;Day 0
UNC13A;Day 0
MAP1S;Day 0
GDF15;Day 0
PGPEP1;Day 0
LSM4;Day 0
JUND;Day 0
OLFM1;Day 0
ZBTB46;Day 0
HELZ2;Day 0
PAK4;Day 0
TAF4;Day 0
LAMA5;Day 0
OSBPL2;Day 0
ASS1;Day 0
PRRC2B;Day 0
UBE2M;Day 0
TRIM28;Day 0
YIPF2;Day 0
EIF2S3;Day 0
TMEM160;Day 0
ARHGEF16;Day 0
SMPDL3B;Day 0
CLIP1;Day 0
PPAN;Day 0
EIF3G;Day 0
SLC6A8;Day 0
DKC1;Day 0
MPP1;Day 0
ZNF331;Day 0
ZNF236;Day 0
NOL11;Day 0
PRRG1;Day 0
UBA1;Day 0
RGN;Day 0
TXLNGY;Day 0
AKAP12;Day 0
RBM39;Day 0
ZNF341;Day 0
GGT7;Day 0
ACSS2;Day 0
EDA2R;Day 0
C1QL1;Day 0
GSE1;Day 0
GINS2;Day 0
CHMP1A;Day 0
PRR7;Day 0
IDO1;Day 0
CAP1;Day 0
RAB11FIP4;Day 0
MRPS25;Day 0
HACL1;Day 0
RFTN1;Day 0
SLC6A6;Day 0
KCNC3;Day 0
MGAT1;Day 0
GFPT2;Day 0
TUBG1;Day 0
AOC3;Day 0
AOC2;Day 0
EXOC4;Day 0
ACAP3;Day 0
C1orf159;Day 0
TRAF7;Day 0
NPHP4;Day 0
MAP1B;Day 0
IL13RA1;Day 0
WDR44;Day 0
TOP2A;Day 0
PPP1R1B;Day 0
PRKAB2;Day 0
RAI2;Day 0
ZNF304;Day 0
ZNF132;Day 0
CHSY1;Day 0
LLGL1;Day 0
RHPN2;Day 0
ABHD12B;Day 0
DNAJB1;Day 0
MATN3;Day 0
RAF1;Day 0
NUP210;Day 0
HSD17B7;Day 0
ENOSF1;Day 0
EMILIN2;Day 0
TRIM22;Day 0
EFR3A;Day 0
IQCA1;Day 0
RAP1GAP2;Day 0
CLUH;Day 0
MYBBP1A;Day 0
UBE2G1;Day 0
FIGNL1;Day 0
GRSF1;Day 0
ANKRD17;Day 0
ITGB4;Day 0
WBP2;Day 0
H3F3B;Day 0
KDM6B;Day 0
MATN2;Day 0
HSPA12B;Day 0
BCAN;Day 0
ARHGEF11;Day 0
RAB25;Day 0
SYT11;Day 0
DPH2;Day 0
NASP;Day 0
CTNNBL1;Day 0
LPIN3;Day 0
RBM38;Day 0
SERINC3;Day 0
AP3B1;Day 0
ZBED3;Day 0
SYT4;Day 0
ATP8A2;Day 0
XPO4;Day 0
CHRM3;Day 0
PEMT;Day 0
SCO1;Day 0
DSTYK;Day 0
TMCC2;Day 0
DCLK1;Day 0
COG6;Day 0
SPART;Day 0
TRPC4;Day 0
TPT1;Day 0
IRS4;Day 0
BEX2;Day 0
TBC1D8B;Day 0
FAM104A;Day 0
BTBD2;Day 0
KMT5C;Day 0
CSNK1G2;Day 0
CNDP2;Day 0
FOPNL;Day 0
MED10;Day 0
PDZD2;Day 0
LARGE1;Day 0
SEC14L4;Day 0
MKRN1;Day 0
AGAP3;Day 0
KRBA1;Day 0
ACTR3B;Day 0
NTS;Day 0
ATP13A3;Day 0
TMTC1;Day 0
SPINK5;Day 0
LRRCC1;Day 0
CCDC59;Day 0
RRAS2;Day 0
HSD17B4;Day 0
TEX15;Day 0
RNF122;Day 0
DUSP26;Day 0
MEN1;Day 0
ERG28;Day 0
DGLUCY;Day 0
VRTN;Day 0
TTC9;Day 0
EIF2S1;Day 0
LOXL2;Day 0
VHL;Day 0
CHL1;Day 0
GSTM1;Day 0
TSPAN2;Day 0
GSTM3;Day 0
PSRC1;Day 0
SORT1;Day 0
AP4B1;Day 0
SPIRE1;Day 0
PPHLN1;Day 0
FKBP11;Day 0
TMEM106C;Day 0
SLC38A2;Day 0
KIDINS220;Day 0
MYCN;Day 0
LPIN1;Day 0
IAH1;Day 0
NAV1;Day 0
RELCH;Day 0
ECHDC3;Day 0
CABLES1;Day 0
DOCK2;Day 0
LRP4;Day 0
DDB2;Day 0
ACP2;Day 0
RTL8C;Day 0
SOX3;Day 0
STK26;Day 0
SPOCD1;Day 0
AGO4;Day 0
BTF3L4;Day 0
DSC2;Day 0
RNF138;Day 0
DSC3;Day 0
DTNA;Day 0
DAGLA;Day 0
TIMM10;Day 0
DHX34;Day 0
FADS2;Day 0
TMEM165;Day 0
COL4A2;Day 0
DZIP1;Day 0
TPP2;Day 0
CARS2;Day 0
ARHGAP32;Day 0
ETS1;Day 0
TMED7;Day 0
APC;Day 0
CTSL;Day 0
CEMIP2;Day 0
GOLM1;Day 0
FAM189A2;Day 0
PSAT1;Day 0
CCNJL;Day 0
TAOK3;Day 0
MSI1;Day 0
HRK;Day 0
RNFT2;Day 0
TMEM243;Day 0
CCDC146;Day 0
HILPDA;Day 0
SRPK2;Day 0
KCP;Day 0
TES;Day 0
ANKRD6;Day 0
SYNCRIP;Day 0
NT5E;Day 0
MRAP2;Day 0
ORC3;Day 0
ATP5MC2;Day 0
TROAP;Day 0
B4GALNT1;Day 0
PAN2;Day 0
OS9;Day 0
LTV1;Day 0
MAP7;Day 0
CD164;Day 0
NHSL1;Day 0
AHI1;Day 0
HEY2;Day 0
PKIB;Day 0
TEC;Day 0
SEMA4F;Day 0
RAB11FIP5;Day 0
SMYD5;Day 0
DYSF;Day 0
EMX1;Day 0
USP15;Day 0
GNS;Day 0
MDM2;Day 0
PCNX2;Day 0
URB2;Day 0
NTPCR;Day 0
GLUL;Day 0
STX6;Day 0
RNASEL;Day 0
CEP350;Day 0
NPL;Day 0
NIBAN1;Day 0
MRPL44;Day 0
ITM2C;Day 0
SLC19A3;Day 0
SERPINE2;Day 0
ARMC9;Day 0
CAB39;Day 0
GCC2;Day 0
EPC2;Day 0
ARHGEF4;Day 0
USP44;Day 0
SCYL2;Day 0
PLXNC1;Day 0
PWP1;Day 0
WASHC4;Day 0
NEK3;Day 0
RNASEH2B;Day 0
CNMD;Day 0
TBC1D4;Day 0
LRCH1;Day 0
SUCLA2;Day 0
LMO7;Day 0
SPRY2;Day 0
NUDT15;Day 0
EDNRB;Day 0
SCRN1;Day 0
TNS3;Day 0
CHST12;Day 0
IGF2BP3;Day 0
GPNMB;Day 0
RAPGEF5;Day 0
ZDHHC4;Day 0
DGKB;Day 0
DBNL;Day 0
TTYH3;Day 0
TTC5;Day 0
ADAMTS7;Day 0
CALCOCO2;Day 0
SRSF1;Day 0
DCAF7;Day 0
MRPL47;Day 0
TRA2B;Day 0
MARCH7;Day 0
SKIL;Day 0
IMP4;Day 0
TXN;Day 0
ECPAS;Day 0
SMC2;Day 0
NIBAN2;Day 0
DAB2IP;Day 0
STXBP1;Day 0
CDK5RAP2;Day 0
SLC31A1;Day 0
STX17;Day 0
USP20;Day 0
ATP6V1G1;Day 0
TEX10;Day 0
MRPL50;Day 0
TSTD2;Day 0
GABBR2;Day 0
GOLGA1;Day 0
ANP32B;Day 0
CTSV;Day 0
ENPP2;Day 0
DSCC1;Day 0
MYC;Day 0
SIT1;Day 0
IGFBPL1;Day 0
PIM1;Day 0
KIAA0319;Day 0
IRF4;Day 0
TUBB2A;Day 0
RIPK1;Day 0
TCF19;Day 0
DDR1;Day 0
RNF144B;Day 0
FHDC1;Day 0
ARRB1;Day 0
NUMA1;Day 0
SYTL2;Day 0
CREBZF;Day 0
PI15;Day 0
SULF1;Day 0
SORL1;Day 0
DCUN1D5;Day 0
C11orf1;Day 0
FXYD6;Day 0
ALKBH8;Day 0
SLTM;Day 0
THBS1;Day 0
KNL1;Day 0
RPLP1;Day 0
PAQR5;Day 0
SMAD6;Day 0
PLCB2;Day 0
ADAM10;Day 0
DUOX1;Day 0
BCL2L10;Day 0
RSL24D1;Day 0
FNBP1L;Day 0
ARHGAP29;Day 0
SLC44A5;Day 0
CGREF1;Day 0
PPM1B;Day 0
CYP1B1;Day 0
ACTR2;Day 0
EMILIN1;Day 0
SIX3;Day 0
LRPPRC;Day 0
MFSD13A;Day 0
LOXL4;Day 0
CH25H;Day 0
TACC2;Day 0
DUSP5;Day 0
CALHM2;Day 0
ARL3;Day 0
ANXA7;Day 0
ASCC1;Day 0
AOX1;Day 0
BARD1;Day 0
CARF;Day 0
ASNSD1;Day 0
SSB;Day 0
NAB1;Day 0
IDH1;Day 0
ITPRID2;Day 0
WDR12;Day 0
ABI2;Day 0
ITGAV;Day 0
SENP7;Day 0
PARP9;Day 0
MNS1;Day 0
GLCE;Day 0
INTS14;Day 0
PARP16;Day 0
PPCDC;Day 0
HERC6;Day 0
PCDH10;Day 0
ZGRF1;Day 0
AP1AR;Day 0
COPS4;Day 0
HNRNPD;Day 0
SEC31A;Day 0
FGF2;Day 0
KIAA1109;Day 0
LARP1B;Day 0
NAAA;Day 0
NUP54;Day 0
G3BP2;Day 0
FRAS1;Day 0
SCARB2;Day 0
CCNG2;Day 0
SHROOM3;Day 0
ANXA3;Day 0
CENPE;Day 0
GSTCD;Day 0
CASP6;Day 0
PAPSS1;Day 0
SLC39A8;Day 0
MAPK8IP3;Day 0
RGS3;Day 0
RNF185;Day 0
SHISAL1;Day 0
ETV6;Day 0
CPNE8;Day 0
FGD4;Day 0
AEBP2;Day 0
ZCRB1;Day 0
PRICKLE1;Day 0
PIANP;Day 0
COL2A1;Day 0
PPFIA2;Day 0
MARCH9;Day 0
INHBE;Day 0
PHLDA1;Day 0
DUSP6;Day 0
TMEM132B;Day 0
SLC15A4;Day 0
SDSL;Day 0
MMAB;Day 0
GLTP;Day 0
TCHP;Day 0
MTMR6;Day 0
SLC7A1;Day 0
NABP2;Day 0
KANSL2;Day 0
GALNT6;Day 0
LMBR1L;Day 0
ANKRD52;Day 0
LPAR6;Day 0
ESD;Day 0
RB1;Day 0
SBNO1;Day 0
SETD1B;Day 0
VPS37B;Day 0
DIAPH3;Day 0
RAB20;Day 0
GRTP1;Day 0
SSTR1;Day 0
NOVA1;Day 0
MDGA2;Day 0
TMX1;Day 0
FRMD6;Day 0
PELI2;Day 0
ARMH4;Day 0
RAB15;Day 0
JDP2;Day 0
WARS;Day 0
NIPA2;Day 0
SLC12A6;Day 0
BNIP2;Day 0
SRP14;Day 0
DISP2;Day 0
CDAN1;Day 0
SCAPER;Day 0
NCOA2;Day 0
MAN2C1;Day 0
DNAJA4;Day 0
TLNRD1;Day 0
TPM1;Day 0
ARRDC4;Day 0
PIF1;Day 0
USP3;Day 0
BBS4;Day 0
PML;Day 0
ADAMTS17;Day 0
ULK3;Day 0
HAPLN3;Day 0
POLG;Day 0
FURIN;Day 0
CRTC3;Day 0
EFL1;Day 0
SH3GL3;Day 0
C16orf58;Day 0
ARMC5;Day 0
FTO;Day 0
CPNE2;Day 0
KATNB1;Day 0
NOL3;Day 0
MBTPS1;Day 0
CDH13;Day 0
ZCCHC14;Day 0
RHOT2;Day 0
RPS2;Day 0
GAS8;Day 0
MED9;Day 0
NCOR1;Day 0
GID4;Day 0
MYOCD;Day 0
DPEP3;Day 0
NOB1;Day 0
TOM1L1;Day 0
TOB1;Day 0
SGSM2;Day 0
NPEPPS;Day 0
SCRN2;Day 0
G6PC3;Day 0
BCAS3;Day 0
TAF4B;Day 0
RPRD1A;Day 0
GALNT1;Day 0
GAREM1;Day 0
ESCO1;Day 0
OSBPL1A;Day 0
PELP1;Day 0
NPC1;Day 0
ARRB2;Day 0
SLC13A5;Day 0
ARHGDIA;Day 0
TMC6;Day 0
SLC16A3;Day 0
CSNK1D;Day 0
TBCD;Day 0
FOXK2;Day 0
RNF157;Day 0
ELAC1;Day 0
TNFRSF11A;Day 0
ZCCHC2;Day 0
PMAIP1;Day 0
P3H4;Day 0
NT5C3B;Day 0
ERBB2;Day 0
IGFBP4;Day 0
FKBP10;Day 0
NFIC;Day 0
PLPP2;Day 0
PFKL;Day 0
VAV1;Day 0
MVB12A;Day 0
DUS3L;Day 0
CCDC97;Day 0
IFITM3;Day 0
PGGHG;Day 0
COL6A1;Day 0
SOD1;Day 0
COL6A2;Day 0
SIK1;Day 0
APP;Day 0
URB1;Day 0
CAPN10;Day 0
MYO1F;Day 0
ERVK3-1;Day 0
NLRP12;Day 0
CACNG8;Day 0
ZNF787;Day 0
ZNF473;Day 0
RPS11;Day 0
IGLON5;Day 0
ZNF614;Day 0
RERE;Day 0
PRDM16;Day 0
EFHD2;Day 0
PEX14;Day 0
SH3BGRL3;Day 0
SYTL1;Day 0
NBPF3;Day 0
HSPG2;Day 0
CCN1;Day 0
TINAGL1;Day 0
KIF2C;Day 0
MOB3C;Day 0
LMO4;Day 0
SYPL2;Day 0
MTF2;Day 0
IGSF3;Day 0
ZNF697;Day 0
PSMA5;Day 0
FNDC7;Day 0
CELSR2;Day 0
ALDH9A1;Day 0
CREG1;Day 0
UCK2;Day 0
ILDR2;Day 0
MGST3;Day 0
COP1;Day 0
UFC1;Day 0
PPOX;Day 0
NUF2;Day 0
RGS5;Day 0
FCRL5;Day 0
CASQ1;Day 0
CRABP2;Day 0
HDGF;Day 0
RGS16;Day 0
TOR1AIP1;Day 0
HMCN1;Day 0
TUFT1;Day 0
CGN;Day 0
SNX27;Day 0
SETDB1;Day 0
SELENBP1;Day 0
SEMA6C;Day 0
ARNT;Day 0
DTL;Day 0
VASH2;Day 0
SMYD2;Day 0
TPM3;Day 0
HAX1;Day 0
RIT1;Day 0
FLG;Day 0
ACTA1;Day 0
GALNT2;Day 0
TTC13;Day 0
MAP3K21;Day 0
SDE2;Day 0
DEGS1;Day 0
FBXO28;Day 0
ARF1;Day 0
